ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-10-01,15.4935982430328,12.867625130692101,17.842011980665053,15.4935982430328,15.4935982430328,-0.17194505318981054,-0.17194505318981054,-0.17194505318981054,-0.17194505318981054,-0.17194505318981054,-0.17194505318981054,0.0,0.0,0.0,15.321653189842989
2009-11-01,15.48415262018916,12.5967725880132,17.532363080050374,15.48415262018916,15.48415262018916,-0.19977719469002944,-0.19977719469002944,-0.19977719469002944,-0.19977719469002944,-0.19977719469002944,-0.19977719469002944,0.0,0.0,0.0,15.284375425499132
2009-12-01,15.475011694856605,13.136626772531807,17.871302506928764,15.475011694856605,15.475011694856605,0.036411093818512714,0.036411093818512714,0.036411093818512714,0.036411093818512714,0.036411093818512714,0.036411093818512714,0.0,0.0,0.0,15.511422788675118
2010-01-01,15.476064322994572,13.006513124219982,17.599225183020557,15.476064322994572,15.476064322994572,-0.1691214628842526,-0.1691214628842526,-0.1691214628842526,-0.1691214628842526,-0.1691214628842526,-0.1691214628842526,0.0,0.0,0.0,15.30694286011032
2010-02-01,15.47711695113254,12.825486042634042,17.755304260674947,15.47711695113254,15.47711695113254,-0.1025795296732439,-0.1025795296732439,-0.1025795296732439,-0.1025795296732439,-0.1025795296732439,-0.1025795296732439,0.0,0.0,0.0,15.374537421459296
2010-03-01,15.47806771203135,13.042715060814231,18.02832726861076,15.47806771203135,15.47806771203135,-0.10716977544502335,-0.10716977544502335,-0.10716977544502335,-0.10716977544502335,-0.10716977544502335,-0.10716977544502335,0.0,0.0,0.0,15.370897936586328
2010-04-01,15.479120340169318,13.116428818627819,17.735863447325496,15.479120340169318,15.479120340169318,-0.12439135427449605,-0.12439135427449605,-0.12439135427449605,-0.12439135427449605,-0.12439135427449605,-0.12439135427449605,0.0,0.0,0.0,15.354728985894823
2010-05-01,15.480139012560903,13.001455418449003,17.704474958406358,15.480139012560903,15.480139012560903,-0.14016759123409941,-0.14016759123409941,-0.14016759123409941,-0.14016759123409941,-0.14016759123409941,-0.14016759123409941,0.0,0.0,0.0,15.339971421326803
2010-06-01,15.48119164069887,12.967064113263715,17.812895660773382,15.48119164069887,15.48119164069887,-0.14130615165172272,-0.14130615165172272,-0.14130615165172272,-0.14130615165172272,-0.14130615165172272,-0.14130615165172272,0.0,0.0,0.0,15.339885489047148
2010-07-01,15.482210313090452,13.092373769263945,17.756559703397336,15.482210313090452,15.482210313090452,-0.03625097261171339,-0.03625097261171339,-0.03625097261171339,-0.03625097261171339,-0.03625097261171339,-0.03625097261171339,0.0,0.0,0.0,15.445959340478739
2010-08-01,15.48326294122842,13.027919561432897,17.709290832050993,15.48326294122842,15.48326294122842,0.14215072794230194,0.14215072794230194,0.14215072794230194,0.14215072794230194,0.14215072794230194,0.14215072794230194,0.0,0.0,0.0,15.62541366917072
2010-09-01,15.48431556936639,13.072655976304986,18.181832131891007,15.48431556936639,15.48431556936639,0.12971459383440107,0.12971459383440107,0.12971459383440107,0.12971459383440107,0.12971459383440107,0.12971459383440107,0.0,0.0,0.0,15.61403016320079
2010-10-01,15.48533424175797,12.824028798154554,17.56713767406806,15.48533424175797,15.48533424175797,-0.23443007480620134,-0.23443007480620134,-0.23443007480620134,-0.23443007480620134,-0.23443007480620134,-0.23443007480620134,0.0,0.0,0.0,15.250904166951768
2010-11-01,15.486386869895938,12.848642695962488,17.617138876682333,15.486386869895938,15.486386869895938,-0.20278253930478699,-0.20278253930478699,-0.20278253930478699,-0.20278253930478699,-0.20278253930478699,-0.20278253930478699,0.0,0.0,0.0,15.283604330591151
2010-12-01,15.487405542287522,13.190324335946809,18.085278589033468,15.487405542287522,15.487405542287522,0.079459165009247,0.079459165009247,0.079459165009247,0.079459165009247,0.079459165009247,0.079459165009247,0.0,0.0,0.0,15.56686470729677
2011-01-01,15.48845817042549,12.809930842610308,17.733286980037892,15.48845817042549,15.48845817042549,-0.19445731435298697,-0.19445731435298697,-0.19445731435298697,-0.19445731435298697,-0.19445731435298697,-0.19445731435298697,0.0,0.0,0.0,15.294000856072504
2011-02-01,15.489510798563458,13.046971012388891,17.804377128323317,15.489510798563458,15.489510798563458,-0.01847026440657049,-0.01847026440657049,-0.01847026440657049,-0.01847026440657049,-0.01847026440657049,-0.01847026440657049,0.0,0.0,0.0,15.471040534156888
